"2021 Con1East Gauge ",,,
"Hourly Stream Data (Summary)",,,
,,,
"Dataset Reference Format:",,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
," URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].",,
,,,
"Dataset Header Description",,,
,"Column(s)| Variable| Description| [units]",,
,"1st Column  | DateTime| Time stamp of variable collection time* [MM/DD/YY  hr:mm]",,
,"2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s]",,
,"3rd Column |StreamTemp-C| Stream Temperature [C]",,
,"4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm]",,
,,,
,,,
,"**Note: -6999 denotes missing data",,
,,,
,,,
"DateTime","Discharge-L/s","StreamTemp-C","StreamEC-mS/cm"
"1/18/2021 5:00",22.22,1,0.068
"1/18/2021 6:00",19.94,0.9,0.068
"1/18/2021 7:00",20.41,0.8,0.068
"1/18/2021 8:00",19.3,0.7,0.068
"1/18/2021 9:00",20.78,0.6,0.068
"1/18/2021 10:00",20.33,0.6,0.068
"1/18/2021 11:00",19.4,0.6,0.068
"1/18/2021 12:00",21.05,0.6,0.068
"1/18/2021 13:00",20.76,0.6,0.068
"1/18/2021 14:00",19.79,0.7,0.068
"1/18/2021 15:00",22.17,0.8,0.07
"1/18/2021 16:00",18.65,0.9,0.068
"1/18/2021 17:00",21.04,0.9,0.069
"1/18/2021 18:00",20.65,0.9,0.069
"1/18/2021 19:00",20.68,0.9,0.069
"1/18/2021 20:00",20.99,0.8,0.068
"1/18/2021 21:00",22.89,0.8,0.068
"1/18/2021 22:00",21.02,0.7,0.068
"1/18/2021 23:00",22.05,0.7,0.068
"1/19/2021 0:00",21.7,0.6,0.068
"1/19/2021 1:00",18.83,0.5,0.068
"1/19/2021 2:00",19.8,0.4,0.068
"1/19/2021 3:00",18.02,0.3,0.068
"1/19/2021 4:00",21.12,0.3,0.068
"1/19/2021 5:00",21.69,0.2,0.067
"1/19/2021 6:00",18.71,0.1,0.067
"1/19/2021 7:00",18.93,0.1,0.068
"1/19/2021 8:00",17.02,0.1,0.068
"1/19/2021 9:00",20.42,0.1,0.068
"1/19/2021 10:00",24.22,0.1,0.068
"1/19/2021 11:00",24.88,0.1,0.068
"1/19/2021 12:00",28.68,0.1,0.068
"1/19/2021 13:00",49.97,0.1,0.068
"1/19/2021 14:00",58.38,0.1,0.068
"1/19/2021 15:00",76.81,0.1,0.068
"1/19/2021 16:00",103.03,0.1,0.068
"1/19/2021 17:00",116.26,0.1,0.068
"1/19/2021 18:00",121.14,0.1,0.068
"1/19/2021 19:00",104.07,0.1,0.067
"1/19/2021 20:00",87.07,0.1,0.067
"1/19/2021 21:00",79.61,0.1,0.067
"1/19/2021 22:00",78.28,0.1,0.067
"1/19/2021 23:00",78.57,0.1,0.067
"1/20/2021 0:00",76.23,0.1,0.067
"1/20/2021 1:00",76.96,0.1,0.067
"1/20/2021 2:00",74.08,0.1,0.067
"1/20/2021 3:00",69.74,0.1,0.067
"1/20/2021 4:00",67.43,0.1,0.067
"1/20/2021 5:00",60.76,0.1,0.067
"1/20/2021 6:00",46.32,0.1,0.067
"1/20/2021 7:00",54.02,0.1,0.067
"1/20/2021 8:00",56.9,0.1,0.067
"1/20/2021 9:00",78.57,0.1,0.068
"1/20/2021 10:00",108.46,0.1,0.068
"1/20/2021 11:00",130.24,0.1,0.068
"1/20/2021 12:00",149.84,0.1,0.068
"1/20/2021 13:00",166.23,0.1,0.068
"1/20/2021 14:00",166,0.1,0.068
"1/20/2021 15:00",165.77,0.1,0.069
"1/20/2021 16:00",170.83,0.1,0.069
"1/20/2021 17:00",171.52,0.1,0.068
"1/20/2021 18:00",173.15,0.1,0.068
"1/20/2021 19:00",159.91,0.1,0.068
"1/20/2021 20:00",129.45,0.1,0.067
"1/20/2021 21:00",100.8,0.1,0.067
"1/20/2021 22:00",84.13,0.1,0.067
"1/20/2021 23:00",66.76,0.1,0.067
"1/21/2021 0:00",40.09,0.1,0.067
"1/21/2021 1:00",22.76,0.2,0.067
"1/21/2021 2:00",21.39,0.2,0.067
"1/21/2021 3:00",21.6,0.2,0.067
"1/21/2021 4:00",21.36,0.2,0.067
"1/21/2021 5:00",21.28,0.3,0.067
"1/21/2021 6:00",22.59,0.3,0.067
"1/21/2021 7:00",21.59,0.3,0.066
"1/21/2021 8:00",21.39,0.3,0.067
"1/21/2021 9:00",23.32,0.4,0.067
"1/21/2021 10:00",22.68,0.5,0.067
"1/21/2021 11:00","#NUM!",0.6,0.067
"1/21/2021 12:00",20.99,0.6,0.067
"1/21/2021 13:00",22.07,0.7,0.067
"1/21/2021 14:00",21.59,0.8,0.067
"1/21/2021 15:00",21.12,0.9,0.068
"1/21/2021 16:00",21.97,0.9,0.068
"1/21/2021 17:00",20.78,0.9,0.068
"1/21/2021 18:00",21.28,0.9,0.068
"1/21/2021 19:00",22.61,0.9,0.068
"1/21/2021 20:00",20.87,1,0.068
"1/21/2021 21:00",21.75,1,0.068
